GrossSpread,MarketValue,OfferPrice,Shares_offered,Syndicated,Num_underwriters,Day1Perf
15629250,1253,19,12655263,1,6,1
5698000,171,19,7700000,0,8,1
36000000,725,18,40000000,0,10,1
6737500,337,14,6500000,0,3,1
26550000,2520,15,29500000,1,6,1
9800000,347,14,10000000,0,5,1
1540000,254,11,2000000,0,1,1
17245274,665,19,12500000,0,8,1
11454560,200,20,8500000,0,8,1
864000,18,6,1800000,0,2,1
11416689,865,12,15600000,1,5,1
23228830,961,14,24221929,1,5,1
780000,307,7,1200000,0,4,1
18313750,2015,14,17500000,0,3,1
28050000,1244,15,34000000,1,10,1
3501750,50,15,3335000,0,9,1
7068750,1053,15,7250000,1,6,1
17781993,1315,43,8843023,1,12,1
3570000,184,10,5100000,1,5,1
8925000,1196,17,7500000,1,3,1
800000,45,8,1000000,0,2,1
1877988,640,8,3025000,1,3,1
8932000,561,17,7700000,0,5,1
2604000,158,24,1550000,0,2,1
25245000,473,15,30600000,0,16,1
896000,37,5,2000000,1,2,1
11697023,728,19,8750000,0,6,1
11784500,235,13,12500000,0,6,1
5859000,313,9,9300000,0,3,1
940800,43,12,1120000,0,1,1
10500000,674,15,10000000,1,3,1
17550000,1331,20,15000000,1,2,1
10335053,1932,11,13333334,1,5,1
14375000,255,20,12500000,0,9,1
9926914,142,16,8726957,1,3,1
200083016,11257,31,280000000,1,15,1
5460000,127,13,6000000,0,2,1
5040000,283,10,7200000,0,4,1
3682033,202,11,5000000,1,4,1
10049425,526,12,13399233,0,5,1
40746779,3440,22,58000000,1,16,1
4437563,6825,11,5250000,1,5,1
13218370,536,20,9441693,1,6,1
5667970,516,11,7100000,1,5,1
15778000,479,16,12250000,0,5,1
27621402,435,19,24000000,0,7,1
1620000,70,9,2400000,0,2,1
4174932,216,10,5750000,1,3,1
10883600,146,13,11200000,0,12,1
4866050,246,9,10000000,1,4,1
19470000,1396,11,29000000,0,4,1
4620000,216,12,5500000,1,4,1
5006430,956,11,5835000,1,4,1
700000,442,8,1250000,0,2,1
4941177,307,12,5882353,1,4,1
16052400,531,21,11760000,0,5,1
847400,1118,5,2100000,1,3,1
4936400,22423,10,6880000,1,3,1
26786250,1093,13,35715000,1,9,1
10901800,641,13,11000000,0,7,1
1185000,54,6,3134921,0,2,1
1475000,179,13,2500000,0,2,1
21118665,14270,19,75564000,1,8,1
2592000,61,12,3200000,0,7,1
27600000,8266,16,25000000,1,9,1
12880000,194,20,8000000,0,8,1
11578122,196,14,13333333,0,7,1
9737000,282,13,10000000,1,3,1
31953126,554,15,33333334,0,6,1
6187500,69,20,4500000,0,5,1
7586313,253,13,15307692,0,8,1
5481000,372,15,5400000,0,3,1
17156875,764,20,13750000,1,6,1
14868750,249,13,16300000,0,6,1
7154904,219,10,10000000,0,6,1
7356824,609,19,5000000,0,7,1
23400000,670,20,18000000,0,7,1
20108400,306,15,20000000,0,8,1
14799422,691,19,13250000,0,7,1
17592642,874,21,13875691,1,4,1
3013500,31,21,2100000,0,3,1
570000,32,4,1700000,0,1,1
6408341,398,18,5085985,1,4,1
4125000,206,11,5357143,0,4,1
12979690,2062,12,16300000,1,6,1
5195313,148,10,7812500,0,3,1
1373400,134,4,14000000,1,4,1
6961500,338,13,8950000,0,5,1
5625900,283,15,6000000,1,4,1
24500000,1750,14,25000000,1,3,1
660002,17,5,2444450,0,2,1
9377500,85,19,7750000,0,4,1
28636364,2131,21,22727273,1,8,1
5800000,150,20,7250000,0,11,1
14833000,235,14,16300000,0,5,1
41895000,1350,18,49000000,1,10,1
1960858,44820,45,345750000,1,19,1
9100000,1362,13,10000000,1,3,1
2000000,55,10,4000000,0,4,1
